dates,WUXIASHADOWRATE
715511,2.82
715542,2.7
715570,2.8
715601,2.95
715631,2.84
715662,3.21
715692,3.2
715723,3.38
715754,4.04
715784,4.05
715815,4.15
715845,4.49
715876,4.35
715907,3.96
715936,3.31
715967,3.23
715997,3.29
716028,2.46
716058,2.3
716089,2.3
716120,2.48
716150,2.3
716181,2.37
716211,2.25
716242,2.24
716273,2.42
716301,2.39
716332,2.29
716362,2.29
716393,2.33
716423,2.24
716454,2.39
716485,2.28
716515,2.3
716546,2.48
716576,2.6
716607,2.72
716638,2.73
716666,2.72
716697,2.73
716727,2.69
716758,2.73
716788,2.92
716819,2.82
716850,2.78
716880,2.74
716911,2.83
716941,2.87
716972,2.91
717003,2.92
717031,2.89
717062,2.9
717092,2.93
717123,2.99
717153,3.18
717184,3.32
717215,3.38
717245,3.45
717276,3.52
717306,3.52
717337,3.52
717368,3.53
717397,3.54
717428,3.47
717458,3.48
717489,3.48
717519,3.46
717550,3.5
717581,3.53
717611,3.57
717642,3.64
717672,3.84
717703,3.81
717734,3.93
717762,3.93
717793,3.93
717823,3.89
717854,3.8
717884,3.84
717915,3.84
717946,3.92
717976,4.03
718007,4.09
718037,4.38
718068,4.59
718099,4.65
718127,4.59
718158,4.62
718188,4.64
718219,4.5
718249,4.8
718280,4.96
718311,5.37
718341,5.35
718372,5.32
718402,4.96
718433,4.72
718464,4.56
718492,4.26
718523,3.84
718553,3.6
718584,3.54
718614,4.21
718645,4.27
718676,4.42
718706,4.56
718737,4.73
718767,4.97
718798,5
718829,4.98
718858,5.17
718889,5.38
718919,5.66
718950,5.52
718980,5.31
719011,5.09
719042,5.19
719072,5.35
719103,5.45
719133,5.96
719164,6.14
719195,6.12
719223,6.02
719254,6.11
719284,6.04
719315,6.44
719345,7
719376,6.98
719407,7.09
719437,7
719468,7.24
719498,7.82
719529,7.87
719560,7.13
719588,6.63
719619,6.51
719649,6.84
719680,6.68
719710,6.45
719741,6.41
719772,6.12
719802,5.91
719833,5.28
719863,4.87
719894,4.44
719925,3.7
719953,3.38
719984,3.86
720014,4.14
720045,4.75
720075,5.4
720106,4.94
720137,4.69
720167,4.46
720198,4.22
720228,4.01
720259,3.38
720290,3.2
720319,3.73
720350,3.71
720380,3.69
720411,3.91
720441,3.98
720472,4.02
720503,4.66
720533,4.74
720564,4.78
720594,5.07
720625,5.41
720656,5.6
720684,6.09
720715,6.26
720745,6.36
720776,7.19
720806,8.01
720837,8.67
720868,8.29
720898,7.22
720929,7.83
720959,7.45
720990,7.77
721021,7.12
721049,7.96
721080,8.33
721110,8.23
721141,7.9
721171,7.55
721202,8.96
721233,8.06
721263,7.46
721294,7.47
721324,7.15
721355,6.26
721386,5.5
721414,5.49
721445,5.61
721475,5.23
721506,5.34
721536,6.13
721567,6.44
721598,6.42
721628,5.96
721659,5.48
721689,5.44
721720,4.87
721751,4.88
721780,5
721811,4.86
721841,5.2
721872,5.41
721902,5.23
721933,5.14
721964,5.08
721994,4.92
722025,4.75
722055,4.35
722086,4.62
722117,4.67
722145,4.6
722176,4.54
722206,4.96
722237,5.02
722267,5.19
722298,5.49
722329,5.81
722359,6.16
722390,6.1
722420,6.07
722451,6.44
722482,6.45
722510,6.29
722541,6.29
722571,6.41
722602,6.73
722632,7.01
722663,7.08
722694,7.85
722724,7.99
722755,8.64
722785,9.08
722816,9.35
722847,9.32
722875,9.48
722906,9.46
722936,9.61
722967,9.06
722997,9.24
723028,9.52
723059,10.26
723089,11.7
723120,11.79
723150,12.04
723181,12
723212,12.86
723241,15.2
723272,13.2
723302,8.58
723333,7.07
723363,8.06
723394,9.13
723425,10.27
723455,11.62
723486,13.73
723516,15.49
723547,15.02
723578,14.79
723606,13.36
723637,13.69
723667,16.3
723698,14.73
723728,14.95
723759,15.51
723790,14.7
723820,13.54
723851,10.86
723881,10.85
723912,12.28
723943,13.48
723971,12.68
724002,12.7
724032,12.09
724063,12.47
724093,11.35
724124,8.68
724155,7.92
724185,7.71
724216,8.07
724246,7.94
724277,7.86
724308,8.11
724336,8.35
724367,8.21
724397,8.19
724428,8.79
724458,9.08
724489,9.34
724520,9
724550,8.64
724581,8.76
724611,9
724642,8.9
724673,9.09
724702,9.52
724733,9.69
724763,9.83
724794,9.87
724824,10.12
724855,10.47
724886,10.37
724916,9.74
724947,8.61
724977,8.06
725008,7.76
725039,8.27
725067,8.52
725098,7.95
725128,7.48
725159,6.95
725189,7.08
725220,7.14
725251,7.1
725281,7.16
725312,7.24
725342,7.1
725373,7.07
725404,7.06
725432,6.56
725463,6.06
725493,6.15
725524,6.21
725554,5.83
725585,5.53
725616,5.21
725646,5.18
725677,5.35
725707,5.53
725738,5.43
725769,5.59
725797,5.59
725828,5.64
725858,5.66
725889,5.67
725919,5.69
725950,6.04
725981,6.4
726011,6.13
726042,5.69
726072,5.77
726103,5.81
726134,5.66
726163,5.7
726194,5.91
726224,6.26
726255,6.46
726285,6.73
726316,7.06
726347,7.24
726377,7.35
726408,7.76
726438,8.07
726469,8.27
726500,8.53
726528,8.82
726559,8.65
726589,8.43
726620,8.15
726650,7.88
726681,7.9
726712,7.75
726742,7.64
726773,7.69
726803,7.63
726834,7.94979833297833
726865,7.79750347102762
726893,7.9509563482731
726924,8.13632876790624
726954,7.7727899094338
726985,7.66850936415486
727015,7.53042621904417
727046,7.55474901762004
727077,7.51045173170882
727107,7.33898999500339
727138,7.1907365810926
727168,6.7576338713869
727199,6.38995533371065
727230,6.10359516636096
727258,5.75942857834753
727289,5.56057274920347
727319,5.54275588809492
727350,5.52920423423313
727380,5.45452539442252
727411,5.20854894699444
727442,5.01706150028372
727472,4.79698094421584
727503,4.40738547370066
727533,3.74803748176444
727564,3.59653493247717
727595,3.53362033549439
727624,3.52929196186183
727655,3.26677246702553
727685,3.28777197770274
727716,3.41979860362263
727746,3.10088820021058
727777,3.0814570659258
727808,2.84950075215069
727838,2.94839943228799
727869,2.98305317212807
727899,2.75757713285953
727930,2.8158270528483
727961,2.87044820279727
727989,2.92547776657819
728020,2.91226032848024
728050,3.10141099184876
728081,3.13662932663363
728111,3.0810375894548
728142,3.08617962334254
728173,3.03764463590414
728203,3.11137145125299
728234,3.13468518506237
728264,3.12744610945956
728295,3.04533151132082
728326,3.42867923113284
728354,3.6875159333393
728385,4.06585809458144
728415,4.43178311604578
728446,4.68378122592799
728476,4.70136387674415
728507,4.74293162888099
728538,5.07684064075015
728568,5.27249469612321
728599,5.9660258232882
728629,7.11696591754881
728660,6.31897612319883
728691,5.99082370658203
728719,5.99939187314693
728750,5.92735561215657
728780,5.79438634954385
728811,5.67747200995314
728841,5.53971165647244
728872,5.49249788588316
728903,5.54190451131708
728933,5.49329901046092
728964,5.42126620313277
728994,5.33246134496444
729025,5.02564375725774
729056,5.04741368199452
729085,5.15158036118086
729116,5.18779164513949
729146,5.1512951307061
729177,5.26490948898661
729207,5.38540561725767
729238,5.27906133305749
729269,5.29365760174813
729299,5.21158787044813
729330,5.19788131996585
729360,5.22491331019614
729391,5.22578309638506
729422,5.27440919204632
729450,5.491629838658
729481,5.45833177098214
729511,5.35430551180994
729542,5.32470041499037
729572,5.34740114227826
729603,5.40115431563394
729634,5.52925471321592
729664,5.37910041576989
729695,5.45887869129273
729725,5.4233050386952
729756,5.35993614930382
729787,5.40832580782691
729815,5.36670399251365
729846,5.33143516179223
729876,5.41204263534644
729907,5.29416504942893
729937,5.23162320227019
729968,5.12985037110949
729999,4.84767091690398
730029,4.73358858499737
730060,4.73528744067834
730090,4.69305814446258
730121,4.75866389196294
730152,4.84695457653347
730180,4.72902102600073
730211,4.74413016979967
730241,4.74167408507213
730272,4.926389087238
730302,4.934898554419
730333,5.18506536787065
730364,5.17266376850968
730394,5.31492068433884
730425,5.58918206133865
730455,5.82636795344202
730486,5.85175203565732
730517,5.84966145657935
730546,6.06302629790308
730577,6.16280090696727
730607,6.62301990463349
730638,6.46070069383597
730668,6.40821254976943
730699,6.38924460886586
730730,6.52055231529091
730760,6.64675209900896
730791,6.43569011037557
730821,5.98895430540875
730852,5.04285760684301
730883,4.7619666035574
730911,4.29516060628621
730942,3.8288098407376
730972,3.22761275308208
731003,3.27215831423739
731033,3.04568810187541
731064,2.83288398510451
731095,2.17295962684192
731125,1.57475238792288
731156,1.1332188205058
731186,0.674666983016517
731217,0.953370118909697
731248,0.967124990755745
731276,1.39709700433259
731307,0.932365917163107
731337,1.12163283147348
731368,1.02043057988522
731398,1.14654718139928
731429,1.42980223447613
731460,1.58505416394464
731490,1.44355818499673
731521,1.14342055868714
731551,1.12457930507984
731582,1.01659600280225
731613,1.15571679632111
731641,1.05894085723081
731672,1.01294603259566
731702,1.27863507957076
731733,1.10038591922318
731763,0.937336726389856
731794,0.735197156228515
731825,0.855586468881595
731855,0.833596129519047
731886,0.874236413897754
731916,0.740095504779112
731947,0.752991180645889
731978,0.746520513757225
732007,0.907943657718065
732038,0.869264846613414
732068,1.06775546092764
732099,1.32480405146639
732129,1.43830942277215
732160,1.62659549289253
732191,1.92645593398973
732221,2.0808222692067
732252,2.35313380521062
732282,2.53487993883285
732313,2.67821170608387
732344,2.83935816085375
732372,2.96344404553743
732403,3.07676341118244
732433,3.14537187197785
732464,3.31739459862898
732494,3.57647821600778
732525,3.63162501977122
732556,4.13786694864163
732586,4.20007900629571
732617,4.32579053630772
732647,4.36298874870074
732678,4.53462380350915
732709,4.60423285887278
732737,4.76590061397672
732768,4.91222177915761
732798,5.06507074618961
732829,5.2625752369177
732859,5.22584157360975
732890,5.20360307269765
732921,5.15401919502837
732951,5.15263490015359
732982,5.12825180407402
733012,5.16808265104887
733043,5.14285309440101
733074,5.13377846395438
733102,5.17541857240678
733133,5.21803089184151
733163,5.10184620706178
733194,5.00676996358137
733224,5.02065864654597
733255,4.63787094433425
733286,4.29143551383653
733316,4.29260737420666
733347,3.6877033491324
733377,3.69865434177768
733408,2.65585610299258
733439,2.13786591024869
733468,1.87452862600577
733499,1.81242339788963
733529,1.95643708973093
733560,2.0540120740171
733590,2.05230976485117
733621,2.12608280761542
733652,1.91130426170128
733682,1.83924343043073
733713,1.41995423970649
733743,0.649730963760244
733774,0.611179097838114
733805,0.876102516151378
733833,0.750245201133062
733864,0.426628499975537
733894,0.206639054383323
733925,0.0215336786947056
733955,-0.117377576455868
733986,-0.282742693602966
734017,-0.406046107991633
734047,-0.474629614380003
734078,-0.61039679810896
734108,-0.153977591909982
734139,-0.447700339468446
734170,-0.544687849601062
734198,-0.47634944389552
734229,-0.466496000421938
734259,-0.482831830820778
734290,-0.542088200647739
734320,-0.589675191488225
734351,-0.698543957983021
734382,-0.795698811889614
734412,-0.99515800878257
734443,-0.956014091111987
734473,-0.884818562231481
734504,-1.01123047631742
734535,-1.09130647332291
734563,-0.9914596073748
734594,-1.06627756408161
734624,-1.14043545969703
734655,-1.12186599861687
734685,-1.19226973070459
734716,-1.37712980238424
734747,-1.40245812380008
734777,-1.43724788969704
734808,-1.48353862120547
734838,-1.46643799480887
734869,-1.53978596169267
734900,-1.45168716871696
734929,-1.26608957943896
734960,-1.26201966646296
734990,-1.23722528649586
735021,-1.11106693479822
735051,-1.17877412651023
735082,-1.25866907485365
735113,-1.36046425687295
735143,-1.33897514089338
735174,-1.42284634490325
735204,-1.42990080075533
735235,-1.35762847246476
735266,-1.4224785555073
735294,-1.44058932608899
735325,-1.52367528531987
735355,-1.26902008457479
735386,-0.969520218355705
735416,-1.52227133190116
735447,-1.6664045260805
735478,-1.80234780471166
735508,-1.85210477371612
735539,-1.99894110950279
735569,-2.13323502669663
735600,-2.37612327846534
735631,-2.54228501034923
735659,-2.62438688706391
735690,-2.89178582148479
735720,-2.98564268572991
735751,-2.88858153972402
735781,-2.83669739100699
735812,-2.89256162970558
735843,-2.80513891104033
735873,-2.80170947134757
735904,-2.76834431914866
735934,-2.42074792801607
735965,-2.26875500815227
735996,-1.973647789146
736024,-1.80844507528458
736055,-1.59495316051584
736085,-1.43363711401323
736116,-1.40202799414047
736146,-1.28821950636037
736177,-0.920617426160186
736208,-0.742078595295798
736238,-0.532405065727792
736269,-0.00499964982073198
736299,0.257343933402011
736330,0.401942967500766
736361,0.525883588463189
736390,0.506534787355903
736421,0.407831709060983
736451,0.484172489259397
736482,0.417986941505961
736512,0.470311803865135
736543,0.44985547994314
736574,0.510288419099323
736604,0.522724628315569
736635,0.429255899729838
736665,0.422156164009528
736696,0.379160199687785
736727,0.391065588301561
736755,0.636018155030697
736786,0.846359595135167
736816,1.02901067145467
736847,1.05618329169534
736877,1.07966960562922
736908,1.10630020131335
736939,1.10453559025884
736969,1.15656697583062
737000,1.28358141481448
737030,1.40846047043339
737061,1.39948536398389
737092,1.54602068572774
737120,1.64631903440365
737151,1.70511573717164
737181,1.76917033392566
737212,1.89002249336376
737242,1.91867145732572
737273,2.01071407923434
737304,2.16541811803027
737334,2.29952410988981
737365,2.40300690574254
737395,2.53086883426369
737426,2.49400295152578
737457,2.45541896246867
737485,2.4034558197094
737516,2.40873044657267
737546,2.41446822425448
737577,2.18571970212691
737607,2.17202441536753
737638,2.02046075763572
737669,1.95836814200176
737699,1.65551873833082
737730,1.63859104305014
737760,1.60878113820007
737791,1.628595281384
737822,1.4138110506738
737851,0.691363936803738
737882,0.497377727737894
737912,0.479820931521692
737943,0.40381232446004
737973,0.252578367728285
738004,0.260382931499674
738035,0.0790725601400126
738065,0.171979140319624
738096,-0.22662215495493
738126,-0.287665702873503
738157,-0.415645088470845
738188,-0.479678779411198
738216,-1.56151388250159
738247,-1.79975298088588
738277,-1.99830062009982
738308,-1.82668725470846
738338,-1.88987060500664
738369,-1.7964574077744
738400,-1.80964930955821
738430,-1.70210147277595
738461,-1.84979476366234
738491,-1.15481851209033
738522,-0.197424790864561
738553,0.206380645334568
738581,0.44
738612,0.76
738642,0.98
738673,1.49
738703,2.23
738734,2.63
